**************************************
Base attacks:
5 14: 000000D0
5 15: 000000D0
5 16: 000000DF
5 17: 000000DE
5 18: 000000DC
5 19: 000000DC
5 20: 000000D8
5 21: 000000D8
5 22: 000000D8
5 23: 000000D8
5 24: 000000D0
5 25: 000000D0
5 26: 000000D0
5 27: 000000D0
5 28: 000000D0
5 29: 000000D0
5 30: 000000D0
5 31: 000000D0
5 32: 0000005F
5 33: 0000005E
5 34: 0000005C
5 35: 0000005C
5 36: 00000058
5 37: 00000058
5 38: 00000058
5 39: 00000058
5 40: 00000050
5 41: 00000050
5 42: 00000050
5 43: 00000050
5 44: 00000050
5 45: 00000050
5 46: 00000050
5 47: 00000050
5 48: 0000005F
5 49: 0000005E
5 50: 0000005C
5 51: 0000005C
5 52: 00000058
5 53: 00000058
5 54: 00000058
5 55: 00000058
5 56: 00000050
5 57: 00000050
5 58: 00000050
5 59: 00000050
5 60: 00000050
5 61: 00000050
5 62: 00000050
5 63: 00000050
6 0: 000000BF
6 1: 000000BE
6 2: 000000BC
6 3: 000000BC
6 4: 000000B8
6 5: 000000B8
6 6: 000000B8
6 7: 000000B8
6 8: 000000B0
6 9: 000000B0
6 10: 000000B0
6 11: 000000B0
6 12: 000000B0
6 13: 000000B0
6 14: 000000B0
6 15: 000000B0
6 16: 000000A0
6 17: 000000A0
6 18: 000000A0
6 19: 000000A0
6 20: 000000A0
6 21: 000000A0
6 22: 000000A0
6 23: 000000A0
6 24: 000000A0
6 25: 000000A0
6 26: 000000A0
6 27: 000000A0
6 28: 000000A0
6 29: 000000A0
6 30: 000000A0
6 31: 000000A0
6 32: 000000BF
6 33: 000000BE
6 34: 000000BC
6 35: 000000BC
6 36: 000000B8
6 37: 000000B8
6 38: 000000B8
6 39: 000000B8
6 40: 000000B0
6 41: 000000B0
6 42: 000000B0
6 43: 000000B0
6 44: 000000B0
6 45: 000000B0
6 46: 000000B0
6 47: 000000B0
6 48: 000000A0
6 49: 000000A0
6 50: 000000A0
6 51: 000000A0
6 52: 000000A0
6 53: 000000A0
6 54: 000000A0
6 55: 000000A0
6 56: 000000A0
6 57: 000000A0
6 58: 000000A0
6 59: 000000A0
6 60: 000000A0
6 61: 000000A0
6 62: 000000A0
6 63: 000000A0
7 0: 0000007F
7 1: 0000007E
7 2: 0000007C
7 3: 0000007C
7 4: 00000078
7 5: 00000078
7 6: 00000078
7 7: 00000078
7 8: 00000070
7 9: 00000070
7 10: 00000070
7 11: 00000070
7 12: 00000070
7 13: 00000070
7 14: 00000070
7 15: 00000070
7 16: 00000060
7 17: 00000060
7 18: 00000060
7 19: 00000060
7 20: 00000060
7 21: 00000060
7 22: 00000060
7 23: 00000060
7 24: 00000060
7 25: 00000060
7 26: 00000060
7 27: 00000060
7 28: 00000060
7 29: 00000060
7 30: 00000060
7 31: 00000060
7 32: 00000040
7 33: 00000040
7 34: 00000040
7 35: 00000040
7 36: 00000040
7 37: 00000040
7 38: 00000040
7 39: 00000040
7 40: 00000040
7 41: 00000040
7 42: 00000040
7 43: 00000040
7 44: 00000040
7 45: 00000040
7 46: 00000040
7 47: 00000040
7 48: 00000040
7 49: 00000040
7 50: 00000040
7 51: 00000040
7 52: 00000040
7 53: 00000040
7 54: 00000040
7 55: 00000040
7 56: 00000040
7 57: 00000040
7 58: 00000040
7 59: 00000040
7 60: 00000040
7 61: 00000040
7 62: 00000040
7 63: 00000040
**************************************
King attacks:
8 - - - - - - - - 
7 - - - - - - - - 
6 - - - - - - - - 
5 - - - - - - - - 
4 - - - - - - - - 
3 - - - - - - - - 
2 X X - - - - - - 
1 + X - - - - - - 
  a b c d e f g h
8 - - - - - - - - 
7 - - - - - - - - 
6 - - - - - - - - 
5 - - - - - - - - 
4 - - - - - - - - 
3 - - - - - - - - 
2 X X X - - - - - 
1 X + X - - - - - 
  a b c d e f g h
8 - - - - - - - - 
7 - - - - - - - - 
6 - - - - - - - - 
5 - - - - - - - - 
4 - - - - - - - - 
3 - - - - - - - - 
2 - X X X - - - - 
1 - X + X - - - - 
  a b c d e f g h
8 - - - - - - - - 
7 - - - - - - - - 
6 - - - - - - - - 
5 - - - - - - - - 
4 - - - - - - - - 
3 - - - - - - - - 
2 - - X X X - - - 
1 - - X + X - - - 
  a b c d e f g h
8 - - - - - - - - 
7 - - - - - - - - 
6 - - - - - - - - 
5 - - - - - - - - 
4 - - - - - - - - 
3 - - - - - - - - 
2 - - - X X X - - 
1 - - - X + X - - 
  a b c d e f g h
8 - - - - - - - - 
7 - - - - - - - - 
6 - - - - - - - - 
5 - - - - - - - - 
4 - - - - - - - - 
3 - - - - - - - - 
2 - - - - X X X - 
1 - - - - X + X - 
  a b c d e f g h
8 - - - - - - - - 
7 - - - - - - - - 
6 - - - - - - - - 
5 - - - - - - - - 
4 - - - - - - - - 
3 - - - - - - - - 
2 - - - - - X X X 
1 - - - - - X + X 
  a b c d e f g h
8 - - - - - - - - 
7 - - - - - - - - 
6 - - - - - - - - 
5 - - - - - - - - 
4 - - - - - - - - 
3 - - - - - - - - 
2 - - - - - - X X 
1 - - - - - - X + 
  a b c d e f g h
8 - - - - - - - - 
7 - - - - - - - - 
6 - - - - - - - - 
5 - - - - - - - - 
4 - - - - - - - - 
3 X X - - - - - - 
2 + X - - - - - - 
1 X X - - - - - - 
  a b c d e f g h
8 - - - - - - - - 
7 - - - - - - - - 
6 - - - - - - - - 
5 - - - - - - - - 
4 - - - - - - - - 
3 X X X - - - - - 
2 X + X - - - - - 
1 X X X - - - - - 
  a b c d e f g h
8 - - - - - - - - 
7 - - - - - - - - 
6 - - - - - - - - 
5 - - - - - - - - 
4 - - - - - - - - 
3 - X X X - - - - 
2 - X + X - - - - 
1 - X X X - - - - 
  a b c d e f g h
8 - - - - - - - - 
7 - - - - - - - - 
6 - - - - - - - - 
5 - - - - - - - - 
4 - - - - - - - - 
3 - - X X X - - - 
2 - - X + X - - - 
1 - - X X X - - - 
  a b c d e f g h
8 - - - - - - - - 
7 - - - - - - - - 
6 - - - - - - - - 
5 - - - - - - - - 
4 - - - - - - - - 
3 - - - X X X - - 
2 - - - X + X - - 
1 - - - X X X - - 
  a b c d e f g h
8 - - - - - - - - 
7 - - - - - - - - 
6 - - - - - - - - 
5 - - - - - - - - 
4 - - - - - - - - 
3 - - - - X X X - 
2 - - - - X + X - 
1 - - - - X X X - 
  a b c d e f g h
8 - - - - - - - - 
7 - - - - - - - - 
6 - - - - - - - - 
5 - - - - - - - - 
4 - - - - - - - - 
3 - - - - - X X X 
2 - - - - - X + X 
1 - - - - - X X X 
  a b c d e f g h
8 - - - - - - - - 
7 - - - - - - - - 
6 - - - - - - - - 
5 - - - - - - - - 
4 - - - - - - - - 
3 - - - - - - X X 
2 - - - - - - X + 
1 - - - - - - X X 
  a b c d e f g h
8 - - - - - - - - 
7 - - - - - - - - 
6 - - - - - - - - 
5 - - - - - - - - 
4 X X - - - - - - 
3 + X - - - - - - 
2 X X - - - - - - 
1 - - - - - - - - 
  a b c d e f g h
8 - - - - - - - - 
7 - - - - - - - - 
6 - - - - - - - - 
5 - - - - - - - - 
4 X X X - - - - - 
3 X + X - - - - - 
2 X X X - - - - - 
1 - - - - - - - - 
  a b c d e f g h
8 - - - - - - - - 
7 - - - - - - - - 
6 - - - - - - - - 
5 - - - - - - - - 
4 - X X X - - - - 
3 - X + X - - - - 
2 - X X X - - - - 
1 - - - - - - - - 
  a b c d e f g h
8 - - - - - - - - 
7 - - - - - - - - 
6 - - - - - - - - 
5 - - - - - - - - 
4 - - X X X - - - 
3 - - X + X - - - 
2 - - X X X - - - 
1 - - - - - - - - 
  a b c d e f g h
8 - - - - - - - - 
7 - - - - - - - - 
6 - - - - - - - - 
5 - - - - - - - - 
4 - - - X X X - - 
3 - - - X + X - - 
2 - - - X X X - - 
1 - - - - - - - - 
  a b c d e f g h
8 - - - - - - - - 
7 - - - - - - - - 
6 - - - - - - - - 
