b1	24	8/8/8/p7/p7/8/8/1R1pp3	a1 c1 d1	b2 b3 b4
b1	26	8/8/8/p7/p7/8/p7/1R1pp3	a1 c1 d1	b2
b1	28	8/8/8/p7/p7/p7/8/1Rppp3	a1 c1	b2 b3
b1	30	8/8/8/p7/p7/p7/p7/1Rppp3	a1 c1	b2
b1	32	8/8/p7/8/8/8/8/1R3p2	a1 c1 d1 e1 f1	b2 b3 b4 b5 b6
b1	34	8/8/p7/8/8/8/p7/1R3p2	a1 c1 d1 e1 f1	b2
b1	36	8/8/p7/8/8/p7/8/1Rp2p2	a1 c1	b2 b3
b1	38	8/8/p7/8/8/p7/p7/1Rp2p2	a1 c1	b2
b1	40	8/8/p7/8/p7/8/8/1R1p1p2	a1 c1 d1	b2 b3 b4
b1	42	8/8/p7/8/p7/8/p7/1R1p1p2	a1 c1 d1	b2
b1	44	8/8/p7/8/p7/p7/8/1Rpp1p2	a1 c1	b2 b3
b1	46	8/8/p7/8/p7/p7/p7/1Rpp1p2	a1 c1	b2
b1	48	8/8/p7/p7/8/8/8/1R2pp2	a1 c1 d1 e1	b2 b3 b4 b5
b1	50	8/8/p7/p7/8/8/p7/1R2pp2	a1 c1 d1 e1	b2
b1	52	8/8/p7/p7/8/p7/8/1Rp1pp2	a1 c1	b2 b3
b1	54	8/8/p7/p7/8/p7/p7/1Rp1pp2	a1 c1	b2
b1	56	8/8/p7/p7/p7/8/8/1R1ppp2	a1 c1 d1	b2 b3 b4
b1	58	8/8/p7/p7/p7/8/p7/1R1ppp2	a1 c1 d1	b2
b1	60	8/8/p7/p7/p7/p7/8/1Rpppp2	a1 c1	b2 b3
b1	62	8/8/p7/p7/p7/p7/p7/1Rpppp2	a1 c1	b2
b1	64	8/p7/8/8/8/8/8/1R4p1	a1 c1 d1 e1 f1 g1	b2 b3 b4 b5 b6 b7
b1	66	8/p7/8/8/8/8/p7/1R4p1	a1 c1 d1 e1 f1 g1	b2
b1	68	8/p7/8/8/8/p7/8/1Rp3p1	a1 c1	b2 b3
b1	70	8/p7/8/8/8/p7/p7/1Rp3p1	a1 c1	b2
b1	72	8/p7/8/8/p7/8/8/1R1p2p1	a1 c1 d1	b2 b3 b4
b1	74	8/p7/8/8/p7/8/p7/1R1p2p1	a1 c1 d1	b2
b1	76	8/p7/8/8/p7/p7/8/1Rpp2p1	a1 c1	b2 b3
b1	78	8/p7/8/8/p7/p7/p7/1Rpp2p1	a1 c1	b2
b1	80	8/p7/8/p7/8/8/8/1R2p1p1	a1 c1 d1 e1	b2 b3 b4 b5
b1	82	8/p7/8/p7/8/8/p7/1R2p1p1	a1 c1 d1 e1	b2
b1	84	8/p7/8/p7/8/p7/8/1Rp1p1p1	a1 c1	b2 b3
b1	86	8/p7/8/p7/8/p7/p7/1Rp1p1p1	a1 c1	b2
b1	88	8/p7/8/p7/p7/8/8/1R1pp1p1	a1 c1 d1	b2 b3 b4
b1	90	8/p7/8/p7/p7/8/p7/1R1pp1p1	a1 c1 d1	b2
b1	92	8/p7/8/p7/p7/p7/8/1Rppp1p1	a1 c1	b2 b3
b1	94	8/p7/8/p7/p7/p7/p7/1Rppp1p1	a1 c1	b2
b1	96	8/p7/p7/8/8/8/8/1R3pp1	a1 c1 d1 e1 f1	b2 b3 b4 b5 b6
b1	98	8/p7/p7/8/8/8/p7/1R3pp1	a1 c1 d1 e1 f1	b2
b1	100	8/p7/p7/8/8/p7/8/1Rp2pp1	a1 c1	b2 b3
b1	102	8/p7/p7/8/8/p7/p7/1Rp2pp1	a1 c1	b2
b1	104	8/p7/p7/8/p7/8/8/1R1p1pp1	a1 c1 d1	b2 b3 b4
b1	106	8/p7/p7/8/p7/8/p7/1R1p1pp1	a1 c1 d1	b2
b1	108	8/p7/p7/8/p7/p7/8/1Rpp1pp1	a1 c1	b2 b3
b1	110	8/p7/p7/8/p7/p7/p7/1Rpp1pp1	a1 c1	b2
b1	112	8/p7/p7/p7/8/8/8/1R2ppp1	a1 c1 d1 e1	b2 b3 b4 b5
b1	114	8/p7/p7/p7/8/8/p7/1R2ppp1	a1 c1 d1 e1	b2
b1	116	8/p7/p7/p7/8/p7/8/1Rp1ppp1	a1 c1	b2 b3
b1	118	8/p7/p7/p7/8/p7/p7/1Rp1ppp1	a1 c1	b2
b1	120	8/p7/p7/p7/p7/8/8/1R1pppp1	a1 c1 d1	b2 b3 b4
b1	122	8/p7/p7/p7/p7/8/p7/1R1pppp1	a1 c1 d1	b2
b1	124	8/p7/p7/p7/p7/p7/8/1Rppppp1	a1 c1	b2 b3
b1	126	8/p7/p7/p7/p7/p7/p7/1Rppppp1	a1 c1	b2
c1	0	8/8/8/8/8/8/8/2R5	a1 b1 d1 e1 f1 g1 h1	c2 c3 c4 c5 c6 c7 c8
c1	2	8/8/8/8/8/8/p7/1pR5	b1 d1 e1 f1 g1 h1	c2
c1	4	8/8/8/8/8/p7/8/2R5	a1 b1 d1 e1 f1 g1 h1	c2 c3
c1	6	8/8/8/8/8/p7/p7/1pR5	b1 d1 e1 f1 g1 h1	c2
c1	8	8/8/8/8/p7/8/8/2Rp4	a1 b1 d1	c2 c3 c4
c1	10	8/8/8/8/p7/8/p7/1pRp4	b1 d1	c2
c1	12	8/8/8/8/p7/p7/8/2Rp4	a1 b1 d1	c2 c3
c1	14	8/8/8/8/p7/p7/p7/1pRp4	b1 d1	c2
c1	16	8/8/8/p7/8/8/8/2R1p3	a1 b1 d1 e1	c2 c3 c4 c5
c1	18	8/8/8/p7/8/8/p7/1pR1p3	b1 d1 e1	c2
c1	20	8/8/8/p7/8/p7/8/2R1p3	a1 b1 d1 e1	c2 c3
c1	22	8/8/8/p7/8/p7/p7/1pR1p3	b1 d1 e1	c2
c1	24	8/8/8/p7/p7/8/8/2Rpp3	a1 b1 d1	c2 c3 c4
c1	26	8/8/8/p7/p7/8/p7/1pRpp3	b1 d1	c2
c1	28	8/8/8/p7/p7/p7/8/2Rpp3	a1 b1 d1	c2 c3
c1	30	8/8/8/p7/p7/p7/p7/1pRpp3	b1 d1	c2
c1	32	8/8/p7/8/8/8/8/2R2p2	a1 b1 d1 e1 f1	c2 c3 c4 c5 c6
c1	34	8/8/p7/8/8/8/p7/1pR2p2	b1 d1 e1 f1	c2
c1	36	8/8/p7/8/8/p7/8/2R2p2	a1 b1 d1 e1 f1	c2 c3
c1	38	8/8/p7/8/8/p7/p7/1pR2p2	b1 d1 e1 f1	c2
c1	40	8/8/p7/8/p7/8/8/2Rp1p2	a1 b1 d1	c2 c3 c4
c1	42	8/8/p7/8/p7/8/p7/1pRp1p2	b1 d1	c2
c1	44	8/8/p7/8/p7/p7/8/2Rp1p2	a1 b1 d1	c2 c3
c1	46	8/8/p7/8/p7/p7/p7/1pRp1p2	b1 d1	c2
c1	48	8/8/p7/p7/8/8/8/2R1pp2	a1 b1 d1 e1	c2 c3 c4 c5
c1	50	8/8/p7/p7/8/8/p7/1pR1pp2	b1 d1 e1	c2
c1	52	8/8/p7/p7/8/p7/8/2R1pp2	a1 b1 d1 e1	c2 c3
c1	54	8/8/p7/p7/8/p7/p7/1pR1pp2	b1 d1 e1	c2
c1	56	8/8/p7/p7/p7/8/8/2Rppp2	a1 b1 d1	c2 c3 c4
c1	58	8/8/p7/p7/p7/8/p7/1pRppp2	b1 d1	c2
c1	60	8/8/p7/p7/p7/p7/8/2Rppp2	a1 b1 d1	c2 c3
c1	62	8/8/p7/p7/p7/p7/p7/1pRppp2	b1 d1	c2
c1	64	8/p7/8/8/8/8/8/2R3p1	a1 b1 d1 e1 f1 g1	c2 c3 c4 c5 c6 c7
c1	66	8/p7/8/8/8/8/p7/1pR3p1	b1 d1 e1 f1 g1	c2
c1	68	8/p7/8/8/8/p7/8/2R3p1	a1 b1 d1 e1 f1 g1	c2 c3
c1	70	8/p7/8/8/8/p7/p7/1pR3p1	b1 d1 e1 f1 g1	c2
c1	72	8/p7/8/8/p7/8/8/2Rp2p1	a1 b1 d1	c2 c3 c4
c1	74	8/p7/8/8/p7/8/p7/1pRp2p1	b1 d1	c2
c1	76	8/p7/8/8/p7/p7/8/2Rp2p1	a1 b1 d1	c2 c3
c1	78	8/p7/8/8/p7/p7/p7/1pRp2p1	b1 d1	c2
c1	80	8/p7/8/p7/8/8/8/2R1p1p1	a1 b1 d1 e1	c2 c3 c4 c5
c1	82	8/p7/8/p7/8/8/p7/1pR1p1p1	b1 d1 e1	c2
c1	84	8/p7/8/p7/8/p7/8/2R1p1p1	a1 b1 d1 e1	c2 c3
c1	86	8/p7/8/p7/8/p7/p7/1pR1p1p1	b1 d1 e1	c2
c1	88	8/p7/8/p7/p7/8/8/2Rpp1p1	a1 b1 d1	c2 c3 c4
c1	90	8/p7/8/p7/p7/8/p7/1pRpp1p1	b1 d1	c2
c1	92	8/p7/8/p7/p7/p7/8/2Rpp1p1	a1 b1 d1	c2 c3
c1	94	8/p7/8/p7/p7/p7/p7/1pRpp1p1	b1 d1	c2
